,Countries,2000,2003,2006,2009,2012,2015,2018
32,Sweden,,509.046449064095,502.356398206747,494.238175178004,478.260635852324,493.91812212913,502.387702154542
33,Switzerland,,526.55314814434,529.656147274817,533.960644751785,530.931003856151,521.2505751832,515.314713109516
34,Turkey,,423.41941009499,423.941190323101,445.451340058823,447.984415052099,420.453979471543,453.507777434992
35,United Kingdom,,508.258081598303,495.444158476338,492.414078264908,493.934230967956,492.478530672512,501.769899185046
36,United States,,482.882789475851,474.35215765384,487.396520506318,481.366786310301,469.628491817614,478.244717372643
37,Albania,,,,377.461056419574,394.329333184424,,437.221991267959
38,Albania (2015),,,,,,413.157021070361,
39,Algeria,,,,,,359.606217049405,
40,Argentina,,,381.253911148702,388.068128331989,388.431709736779,,379.453816903301
41,Argentina (2015),,,,,,409.033327758346,
42,Baku (Azerbaijan),,,,,,,419.643112834151
43,Belarus,,,,,,,471.865144515788
44,Bosnia and Herzegovina,,,,,,,406.384407904905
45,Brazil,,356.015791087644,369.515046477085,385.814111796073,388.508963269403,377.069523421222,383.569124060271
46,Brunei Darussalam,,,,,,,430.11296217016
47,B-S-J-G (China),,,,,,531.296133018898,
48,B-S-J-Z (China),,,,,,,591.393597518059
49,Bulgaria,,,413.449171394559,428.06614290384,438.738259668812,441.189919352615,436.040571074175
50,Chinese Taipei,,,549.357265489055,543.182422746029,559.824796020719,542.321466737274,531.14353664218
51,Costa Rica,,,,,406.99986717469,400.25337289934,402.330558536023
52,Croatia,,,467.24671401615,459.93891768794,471.131460624613,464.040099247348,464.204272838865
53,Cyprus,,,,,439.696382648104,437.128523551686,450.68299409244
54,Dominican Republic,,,,,,327.702025194469,325.100546551296
55,Georgia,,,,,,403.833229454303,397.586355308025
56,Hong Kong (China),,550.383240588331,547.460679574837,554.527506247141,561.241096347419,547.931049423792,551.154274244197
57,Indonesia,,360.158832165328,391.006808080867,371.300931004917,375.114451524122,386.10959153229,378.668131296323
58,Jordan,,,384.036052036306,386.663813753871,385.595556370133,380.259010417183,399.76190931094
59,Kazakhstan,,,,404.884691917085,431.798408525889,,423.146133040179
60,Kazakhstan (2015),,,,,,459.815994394847,
61,Kosovo,,,,,,361.53398062755,365.884946534458
62,Lebanon,,,,,,396.249652539543,393.450054472395
63,Macao (China),,527.270281499519,525.002509286714,525.283022896302,538.13449475617,543.807775689021,557.670230253825
64,Malaysia,,,,,420.512967518403,,440.20753655557
65,Malaysia (2015),,,,,,446.109777218572,
66,Malta,,,,,,478.644793714906,471.724415054469
67,Moldova,,,,,,419.663521460392,420.603998904327
68,Montenegro,,,399.307688537886,402.515364134253,409.626613200096,417.934124683488,429.611542751891
69,Morocco,,,,,,,367.727352585382
70,North Macedonia,,,,,,371.311428690251,394.446829937044
71,Panama,,,,,,,352.846255666292
72,Peru,,,,365.107272348555,368.102546897398,386.560588036269,399.837674532082
73,Philippines,,,,,,,352.567067742318
74,Qatar,,,317.955652286622,368.112487761863,376.448397830979,402.400635014115,414.228717904732
75,Romania,,,414.7959504538,427.07917579221,444.554242644569,443.954315286879,429.916827024108
76,Russia,,468.406654023418,475.679075148295,467.812209268743,482.169415849644,494.060030279362,487.786539122024
77,Saudi Arabia,,,,,,,373.238805633343
78,Serbia,,,,,,,448.283056328601
79,Singapore,,,,562.018741039035,573.468314561447,564.189678152976,569.007779891067
80,Thailand,,416.977960429349,417.072614011731,418.583935015112,426.737491174573,415.463799897801,418.555501483126
81,Trinidad and Tobago,,,,414.044966353499,,417.243395883193,
82,Tunisia,,358.73322220757,365.479374822148,371.483502869281,387.824629540816,366.817985469443,
83,Ukraine,,,,,,,453.117498815689
84,United Arab Emirates,,,,,434.007164664006,427.482739051995,434.94725191298
85,Uruguay,,422.199879534705,426.799040792705,426.723772720805,409.291567890237,417.99188294929,417.661617254228
86,Viet Nam,,,,,511.338207374629,494.518311405921,
